ID,CCAvg,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard,Age,Family,ZIPCode,FirstName,LastName,Education,Experience,Income
1,1.6,0,0,1,0,0,0,25.0,4.0,91107.0,Wesley,Barrett,1,1,49
2,1.5,0,0,1,0,0,0,45.0,3.0,90089.0,Larry,Lewin,1,19,34
3,1.0,0,0,0,0,0,0,39.0,1.0,94720.0,Israel,Brady,1,15,11
4,2.7,0,0,0,0,0,0,35.0,1.0,94112.0,Nora,Quinn,2,9,100
5,1.0,0,0,0,0,0,1,35.0,4.0,91330.0,Jose,Crespo,2,8,45
6,0.4,155,0,0,0,1,0,37.0,4.0,92121.0,Terry,Lewis,2,13,29
7,1.5,0,0,0,0,1,0,53.0,2.0,91711.0,Harold,Ryan,2,27,72
8,0.3,0,0,0,0,0,1,50.0,1.0,93943.0,Karl,Mitchell,3,24,22
9,0.6,104,0,0,0,1,0,35.0,3.0,90089.0,Mary,Perkins,2,10,81
10,8.9,0,1,0,0,0,0,34.0,1.0,93023.0,Dennis,Lafountain,3,9,180
11,2.4,0,0,0,0,0,0,65.0,4.0,94710.0,Edward,Mckay,3,39,105
12,0.1,0,0,0,0,1,0,29.0,3.0,90277.0,Ronald,Taylor,2,5,45
13,3.8,0,0,1,0,0,0,48.0,2.0,93106.0,Laura,Barnoski,3,23,114
14,2.5,0,0,0,0,1,0,59.0,4.0,94920.0,Joan,Melendez,2,32,40
15,2.0,0,0,1,0,0,0,67.0,1.0,91741.0,Derrick,Lam,1,41,112
16,1.5,0,0,0,0,1,1,60.0,1.0,95054.0,Lucy,Solomon,3,30,22
17,4.7,134,1,0,0,0,0,38.0,4.0,95010.0,Jacqueline,Miller,3,14,130
18,2.4,0,0,0,0,0,0,42.0,4.0,94305.0,Tana,Nye,1,18,81
19,8.1,0,1,0,0,0,0,46.0,2.0,91604.0,Lisa,Lawson,3,21,193
20,0.5,0,0,1,0,0,1,55.0,1.0,94720.0,Nicole,Bryan,2,28,21
21,0.9,111,0,0,0,1,0,56.0,4.0,94015.0,Spencer,Lathan,2,31,25
22,2.0,0,0,0,0,1,0,57.0,3.0,90095.0,Michael,Hooks,3,27,63
23,1.2,260,0,0,0,1,0,29.0,1.0,90277.0,Melvin,Combs,1,5,62
24,0.7,163,0,1,0,0,0,44.0,2.0,91320.0,Yolanda,Wilson,1,18,43
25,3.9,159,0,0,0,0,1,36.0,2.0,95521.0,James,Rogers,1,11,152
26,0.5,97,0,0,0,1,0,43.0,3.0,94305.0,Ruby,Reeder,1,19,29
27,0.2,0,0,0,0,0,0,40.0,4.0,95064.0,Tommie,Brow,3,16,83
28,2.4,0,0,0,0,1,1,46.0,1.0,90064.0,Charles,Shy,1,20,158
29,2.2,0,0,0,0,1,1,56.0,1.0,94539.0,Eric,Williams,3,30,48
30,3.3,0,1,0,1,1,1,38.0,1.0,94104.0,Robert,Leventhal,2,13,119
31,1.2,122,0,0,0,1,0,59.0,1.0,93106.0,Linda,Cullinane,3,35,35
32,2.0,0,0,0,0,1,0,40.0,1.0,94117.0,Michael,Beck,2,16,29
33,0.6,193,0,0,0,0,0,53.0,2.0,94801.0,Horace,Bickel,3,28,41
34,0.9,0,0,0,0,0,0,30.0,3.0,91330.0,James,Mandrell,3,6,18
35,1.8,0,0,0,0,1,0,31.0,4.0,94035.0,Theodore,Araujo,3,5,50
36,0.7,0,0,0,0,0,0,48.0,3.0,92647.0,Kenneth,Gaffney,1,24,81
37,2.9,0,0,0,0,0,1,59.0,1.0,94720.0,Rebekah,Chang,1,35,121
38,1.4,198,0,0,0,0,0,51.0,1.0,95814.0,Florence,Cook,3,25,71
39,5.0,0,1,1,1,1,0,42.0,3.0,94114.0,Shirley,Vaughan,3,18,141
40,0.7,285,0,0,0,1,0,38.0,4.0,94115.0,Gale,Garden,3,13,80
41,1.6,0,0,1,0,0,0,57.0,3.0,92672.0,Ashley,Cardillo,3,32,84
42,2.3,0,0,0,0,0,0,34.0,3.0,94122.0,Stephen,Murray,1,9,60
43,1.1,412,1,0,0,1,0,32.0,4.0,90019.0,Jessica,Faircloth,2,7,132
44,0.7,0,0,0,0,1,0,39.0,1.0,95616.0,Janet,Newman,1,15,45
45,5.7,0,0,0,0,1,1,46.0,1.0,94065.0,Henry,Byker,1,20,104
46,2.5,0,0,0,0,0,1,57.0,4.0,94720.0,Renee,Hooker,1,31,52
47,0.7,153,0,0,0,1,0,39.0,3.0,95014.0,Guillermo,Stewart,2,14,43
48,0.2,211,1,1,1,1,1,37.0,4.0,91380.0,Sandra,Taylor,3,12,194
49,4.5,0,0,0,0,0,1,56.0,2.0,95747.0,Scott,Perreault,3,26,81
50,1.8,0,0,0,0,0,1,40.0,1.0,92373.0,Karen,Graves,1,16,49
51,0.7,0,0,1,0,1,0,32.0,4.0,92093.0,Steve,Humbert,2,8,8
52,2.9,0,0,0,0,1,0,61.0,1.0,94720.0,Roni,Bauer,1,37,131
53,0.1,207,0,0,0,0,0,30.0,1.0,94005.0,Fred,Vella,1,6,72
54,2.1,240,1,0,0,1,0,50.0,3.0,90245.0,Matthew,Bade,3,26,190
